322,Air Ambar,\N,AIR AMBAR,\N,AMY
323,Amiya Airline,\N,AMIYA AIR,\N,AMZ
324,All Nippon Airways,ANA All Nippon Airways,ALL NIPPON,NH,ANA
325,Air Navigation And Trading Co. Ltd.,\N,AIR NAV,\N,ANB
326,Anglo Cargo,\N,ANGLO,\N,ANC
327,Air Nostrum,\N,AIR NOSTRUM,YW,ANE
328,Air Niugini,\N,NUIGINI,PX,ANG
329,Air Arabia,\N,ARABIA,G9,ABY
330,Air Canada,\N,AIR CANADA,AC,ACA
331,Airport Bratsk,\N,AEROBRA,\N,BRP
332,Air Wings,\N,ARBAS,\N,BSB
333,Air Baltic,\N,AIRBALTIC,BT,BTI
334,Alajnihah for Air Transport,\N,ALAJNIHAH,\N,ANH
335,Air Atlantic (Nig) Limited,\N,NIGALANTIC,\N,ANI
336,Air Nippon,\N,ANK AIR,EL,ANK
337,Antares Airtransport,\N, Maintenance & Service GmbH,\N,ANM
338,Airnorth,\N,TOPEND,TL,ANO
339,Aerol,\N,ANTIOQUIA,\N,ANQ
340,Andes Lineas Aereas,\N,AEROANDES,\N,ANS
341,Air North Charter - Canada,\N,AIR NORTH,4N,ANT
342,Air Nevada,\N,AIR NEVADA,\N,ANV
343,AOM French Airlines,\N,French Lines,IW,AOM
344,Aviacion Del Noroeste,\N, S.A. de C.V.,\N,ANW
345,Air New Zealand,\N,NEW ZEALAND,NZ,ANZ
346,Avia Jaynar,\N,TOBOL,\N,SAP
347,Aero Servicios Empresariales,\N,SERVIEMPRESARIAL,\N,EMS
348,Alcon Servicios Aereos,\N, S.A. de C.V.,\N,AOA
349,AVCOM,\N,AERO AVCOM,J6,AOC
350,Aero Vodochody,\N,AERO CZECH,\N,AOD
351,Air One Executive,\N, ,\N,AOE
352,Atair Pty Ltd.,\N,ATAIR,\N,AOF
353,Aero VIP,\N,AVIP,2D,AOG
354,Aeromundo Ejecutivo,\N,AEROMUNDO,\N,MUN
355,Aerolinea Muri,\N,MURI,\N,MUR
356,Astoria,\N, Inc.,\N,AOI
357,Aero Rent JSC,\N,AEROMASTER,\N,NRO
358,Aeronord-Grup,\N,AERONORD,\N,NRP
359,Aeroatlantico Colombia,\N,\N,\N,AOK
360,Angkor Airlines,\N,ANGKOR AIR,\N,AOL
361,Aero Entreprise,\N,AERO ENTERPRISE,\N,AON
362,As,\N, Opened Joint Stock Company,\N,AOO
363,Aeropiloto,\N,AEROPILOTO,\N,AOP
364,Aeroenlaces Nacionales,\N,AEROENLACES,\N,VIV
365,Aerovis Airlines,\N,AEROVIZ,\N,VIZ
366,Avjet International (FZE),\N,\N,\N,VJE
367,Aerovista Gulf Express,\N,VISTA GULF,\N,VGF
368,Air Vegas,\N,AIR VEGAS,6V,VGA
369,Almaver,\N,ALMAVER,\N,VER
370,Afro International Ent. Limited,\N,INTER-AFRO,\N,AOR
371,Alitalia Express,\N,ALIEXPRESS,XM,SMX
372,Asia Overnight Express,\N,ASIA OVERNIGHT,OE,AOT
373,Air Tractor,\N,AIR TRACTOR,\N,AOU
374,Aero Vision,\N,AEROVISION,\N,AOV
375,Aerotaxi Del Valle,\N,AEROVALLE,\N,AOX
376,Air Park Aviation Ltd.,\N,CAN-AM,\N,APA
377,Airpac Airlines,\N, Inc.,\N,APC
378,Aeroservicios Monterrey,\N,SERVIMONTE,\N,SVM
379,Amapola Flyg AB,\N,AMAPOLA,\N,APF
380,Air People International,\N,AIR PEOPLE,\N,APG
381,Alpha Aviation,\N, Inc.,\N,APH
382,ASA Pesada,\N, Lda.,\N,API
383,Air Print,\N, S.A.,\N,APJ
384,Atlantic Airlines,\N,BLACKJACK,\N,BJK
385,Aerotransporte Petrolero,\N,AEROPETRO,\N,PET
386,Aero Flight,\N,Aero Fox,GV,ARF
387,ACM Aviation,\N,BAY JET,\N,BJT
388,Aircompany Barcol,\N,BARCOL,\N,BKL
389,All Charter Limited,\N,ALL CHARTER,\N,BLA
390,Appalachian Flying Service,\N, Inc.,\N,APL
391,Airpac,\N, Inc.,\N,APM
392,Aeropro,\N,AEROPRO,\N,APO
393,Aerolineas Pacifico Atlantico,\N, S.A. (Apair),\N,APP
394,Aspen Aviation,\N,ASPEN BASE,\N,APQ
395,Aeropuma,\N, S.A.,\N,APU
396,Air Plan International,\N,AIR PLAN,\N,APV
397,Arrow Air,\N,BIG A,JW,APW
398,Apex Air Cargo,\N,PARCEL EXPRESS,\N,APX
399,APA Internacional,\N,APA INTERNACIONAL,\N,APY
400,Aeroatlas,\N, S.A.,\N,AQA
401,Aquila Air Ltd.,\N,AQUILA,\N,AQL
402,Air Queensland,\N,BUSHAIR,\N,AQN
403,Aluminum Company Of America,\N,ALCOA SHUTTLE,\N,AQO
404,Aviones de Renta de Quintana Roo,\N, S.A. de C.V.,\N,AQT
405,AirQuarius Aviation,\N,QUARIUS,\N,AQU
406,Aerodyne Charter Company,\N,QUANZA,\N,AQZ
407,Arik Air,\N,ARIK AIR,W3,ARA
408,Avia Air N.V.,\N,AVIAIR,\N,ARB
409,Air Routing International Corp.,\N, ,\N,ARC
410,Aerocondor,\N,AEROCONDOR,2B,ARD
411,Aires,\N, Aerovias de Integracion Regional,4C,ARE
412,Aerolineas Argentinas,\N,ARGENTINA,AR,ARG
413,Arrowhead Airways,\N,ARROWHEAD,\N,ARH
414,Aero Vics,\N,AEROVICS,\N,ARI
415,Aerojet de Costa Rica,\N, S.A.,\N,ARJ
416,Antillana De Navegacion Aerea,\N,\N,\N,SUN
417,Aeroservicios De San Luis,\N,SERVICIO SANLUIS,\N,SUO
418,Aerosuper,\N,AEROSUPER,\N,SUP
419,Aero Link Air Services S.L.,\N,LINK SERVICE,\N,ARK
420,Airlec - Air Aquitaine Transport,\N,AIRLEC,\N,ARL
421,Aeromarket Express,\N,AMEX,\N,ARM
422,Arrow Aviation Ltd.,\N,ARROW,\N,ARO
423,RPA-Aviataxi Ltd.,\N,\N,\N,ARP
424,Air Klaipeda,\N,AIR KLAIPEDA,\N,KLD
425,Armstrong Air,\N, Inc.,\N,ARQ
426,Air Armenia,\N,AIR ARMENIA,QN,ARR
427,Aeromet Servicios,\N,METSERVICE,\N,ARS
428,Aerotal Aerolineas Territoriales de Colombia Ltda,\N,AEROTAL,\N,ART
429,Aravco Ltd.,\N,ARAVCO,\N,ARV
430,Aria,\N,ARIABIRD,\N,ARW
431,Air Xpress,\N, Inc.,\N,ARX
432,Airline Alania,\N,ALANIA,\N,OST
433,Air Tchad,\N,HOTEL TANGO,\N,HTT
434,Aerloineas de Techuacan,\N,LINEAS TEHUACAN,\N,HUC
435,Aerotransportes Huitzilin,\N,AEROHUITZILIN,\N,HUT
436,Aero Transportes Del Humaya,\N,AERO HUMAYA,\N,HUY
437,Argosy Airways,\N,GOSEY,\N,ARY
438,Air Resorts,\N,AIR RESORTS,\N,ARZ
439,Alaska Airlines,\N, Inc.,AS,ASA
440,Air-Spray 1967 Ltd.,\N,AIR SPRAY,\N,ASB
441,Air Star Corporation,\N,AIR STAR,\N,ASC
442,Air Sinai,\N,AIR SINAI,4D,ASD
443,Airstars,\N,MOROZOV,PL,ASE
444,Air Schefferville,\N, Inc.,\N,ASF
445,African Star Airways (PTY) Ltd.,\N,AFRICAN STAR,\N,ASG
446,Aerosun International,\N, Inc.,\N,ASI
447,Air Satellite,\N,SATELLITE,\N,ASJ
448,Awesome Flight Services (PTY) Ltd.,\N,AWESOME,\N,ASM
449,Air and Sea Transport,\N, ,\N,ASN
450,Aero Slovakia,\N,AERO NITRA,\N,ASO
451,Airsprint,\N,AIRSPRINT,\N,ASP
452,Atlantic Southeast Airlines,\N,ACEY,EV,ASQ
453,All Star Airlines,\N, Inc.,\N,ASR
454,Air Class,\N, S.A. de C.V.,\N,ASS
455,Aerlineas Del Oeste,\N,AEROESTE,\N,AST
456,Aviones Are,\N,AVIONES ARE,\N,NRE
457,Air Nepal International,\N,AIR NEPAL,\N,NPL
458,Air Napier,\N,\N,\N,NPR
459,Air Taxi & Cargo,\N,TAXI CARGO,\N,WAM
460,Arrow Panama,\N,ARROW PANAMA,\N,WAP
461,Astravia-Bissau Air Transports Ltd.,\N,ASTRAVIA,\N,ASV
462,Astrakhan Airlines,\N,AIR ASTRAKHAN,OB,ASZ
463,Air Transport Association,\N,\N,\N,ATA
464,Atlantair Ltd.,\N,STARLITE,\N,ATB
465,Air Tanzania,\N,TANZANIA,TC,ATC
466,Aerotours Dominicana,\N,AEROTOURS,\N,ATD
467,Atlantis Transportation Services,\N, Ltd.,\N,ATE
468,Aerotrans Airline,\N,BACHYT,\N,ATG
469,Air Charter World,\N,\N,\N,XAC
470,Air Burkina,\N,BURKINA,2J,VBW
471,Air Travel Corp.,\N,AIR TRAVEL,\N,ATH
472,Aero-Tropics Air Services,\N,\N,HC,ATI
473,Air Traffic GmbH,\N,SNOOPY,\N,ATJ
474,AeroTACA,\N,AEROTACA,\N,ATK
475,Aerocentral,\N,CENTRALMEX,\N,ATL
476,Airlines Of Tasmania,\N,AIRTAS,FO,ATM
477,Air Saint Pierre,\N,\N,PJ,SPM
478,Air Transport International,\N,AIR TRANSPORT,8C,ATN
479,ASTRAL Colombia - Aerotransportes Especiales Ltda.,\N,ASTRAL,\N,ATP
480,Air Transport Schiphol,\N,MULTI,\N,ATQ
481,Aeroferinco,\N,FERINCO,\N,FEO
